Continent,Sub-region,Nationality code
Europe,European Union,BGR
Europe,European Union,FRA
Europe,European Union,ITA
Europe,European Union,PRT
Europe,European Union,DEU
Europe,European Union,ROU
Europe,Rest of Europe,GBR
Europe,Rest of Europe,UKR
Europe,Rest of Europe,RUS
Africa,Africa,DZA
Africa,Africa,MAR
Africa,Africa,SEN
America,North America,USA
America,Central America and Caribbean,CUB
America,Central America and Caribbean,HND
America,Central America and Caribbean,NIC
America,Central America and Caribbean,DOM
America,South America,ARG
America,South America,BRA
America,South America,COL
America,South America,ECU
America,South America,PRY
America,South America,PER
America,South America,VEN
Asia,Asia,CHN
Asia,Asia,PAK
